Region,date,date2,cases,LCITY,COMMUNITY,LABEL,deaths,Longitude,Latitude
Adams-Normandie,2020-08-22,2020-08-22,231,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Agoura Hills,2020-03-23,2020-03-23,1,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-03-24,2020-03-24,3,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-03-25,2020-03-25,3,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-03-26,2020-03-26,5,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-03-27,2020-03-27,6,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-03-28,2020-03-28,9,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-03-29,2020-03-29,9,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-03-30,2020-03-30,9,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-03-31,2020-03-31,11,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-04-01,2020-04-01,10,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-04-02,2020-04-02,14,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-04-03,2020-04-03,16,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-04-04,2020-04-04,17,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-04-05,2020-04-05,18,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-04-06,2020-04-06,18,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-04-07,2020-04-07,19,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-04-08,2020-04-08,19,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-04-09,2020-04-09,20,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-04-10,2020-04-10,20,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-04-11,2020-04-11,20,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-04-12,2020-04-12,20,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-04-13,2020-04-13,20,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-04-14,2020-04-14,21,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-04-15,2020-04-15,21,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-04-16,2020-04-16,22,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-04-17,2020-04-17,22,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-04-18,2020-04-18,24,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-04-19,2020-04-19,24,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-05-07,2020-05-07,31,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-05-08,2020-05-08,31,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-05-09,2020-05-09,31,,,,,-118.76570420000002,34.14791
Agoura Hills,2020-05-10,2020-05-10,31,,,,,-118.76570420000002,34.14791
